x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES
77.48918922,34.69278011,0,42374,27831,91193,Building Existing,188.3030657,1893.238603,2006,10826,1,1,2021,57000,19,Building Site,1962,NONE,1,1328,Single Family,Brick Veneer, A58,A58,Single Family
77.20393558,34.68884844,0,42376,27832,91197,Building Existing,182.6947372,1618.868059,2006,3653,1,1,2021,52670,1,Residential,1971,NONE,1,1300,Single Family,Aluminum/Vinyl, A14,A14,Single Family
77.20263081,34.68881683,0,42378,27833,91199,Building Existing,170.2427082,1544.956603,2006,29999,1,1,2021,58640,1,Residential,1973,NONE,1,1300,Single Family,Hard Board (Hardy board or pla, A86,A86,Single Family
77.23593541,34.68929904,0,42379,27834,91200,Building Existing,238.9333908,2345.50634,2006,58709,1,1,2021,125680,1,Residential,1998,NONE,1,1578,Single Family,Aluminum/Vinyl,A2,A2,Single Family
77.12044002,34.68757083,0,42380,27835,91201,Building Existing,158.9095554,1467.571343,2006,25841,1,1,2021,62700,3,Residential,1963,PART,1,2347,Single Family,Aluminum/Vinyl, A14,A14,Single Family
77.20458575,34.6888919,0,42381,27836,91203,Building Existing,164.0784731,1433.865958,2006,14440,1,1,2021,46990,1,Residential,1971,NONE,1,1000,Single Family,Aluminum/Vinyl, A14,A14,Single Family
77.12390126,34.6876407,0,42382,27837,91204,Building Existing,148.1344067,1102.196394,2006,29643,1,1,2021,78220,1,Residential,1972,NONE,1,900,Single Family,Brick Veneer, A74,A74,Single Family
77.12244681,34.68758461,0,42384,27838,91207,Building Existing,215.5717083,2637.685876,2006,22251,1,1,2021,167880,4,Residential,1920,NONE,2,2364,Single Family,Aluminum/Vinyl,A18,A18,Single Family
77.19641351,34.68872568,0,42385,27839,91209,Building Existing,202.1715091,1863.938574,2006,58832,1,2,2021,56020,19,Building Site,1999,NONE,1,1748,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH
77.13749117,34.68786987,0,42386,27840,91210,Building Existing,157.9742808,1067.036727,2006,31982,1,1,2021,32610,2,Residential,2019,NONE,1,1216,Singlewide M/H,"ALUMINUM,VINYL",B3,B3,Singlewide M/H
