id,x,y,idt,taxval,landuse,yearbuilt,storey,Str_old,Structures,type,Area_ft2,o_mph,o_DS1,o_DS2,o_DS3,o_DS4,o_dmg
30616,-77.221,34.702,75211,162940,Residential,2009,1,Single Family,Single Family,A58,2200.900002,144.17,0.958,0.717,0.488,0.443,1
44120,-77.418,34.777,75445,72410,Townhome,2009,2,Town Home,Town Home,B32,2909.026782,132.26,0.344,0.054,0.004,0.003,0
79213,-77.359,34.523,15495,174960,Waterview,1983,2,Beach Duplex,Beach Duplex,A26,1510.371228,151.49,0.997,0.981,0.926,0.857,4
44282,-77.403,34.778,20792,260620,Residential,2008,2,Single Family,Single Family,A26,2033.522125,132.67,0.965,0.834,0.596,0.484,1
104218,-77.136,34.735,45287,182130,Residential,1995,2,Single Family,Single Family,A30,1726.533927,144.7,0.985,0.874,0.681,0.55,2
108776,-77.375,34.748,67671,49790,Townhome,2005,1,Town Home,Town Home,B32,4665.738143,135.77,0.415,0.086,0.009,0.007,0
69558,-77.514,34.778,53584,127770,Residential,1995,1,Single Family,Single Family,A58,2261.385365,128.83,0.821,0.358,0.146,0.14,0
72356,-77.51,34.847,64235,172310,Residential,2005,2,Single Family,Single Family,A30,1633.687978,124.16,0.861,0.449,0.178,0.125,1
143052,-77.496,34.854,65056,207980,Golf Course Lot,2004,2,Single Family,Single Family,A26,2150.071016,124.18,0.91,0.662,0.36,0.277,1
59211,-77.509,34.894,158543,184000,Residential,2014,1,Single Family,Single Family,A58,2949.792413,121.03,0.682,0.189,0.052,0.055,1
103377,-77.485,34.738,24710,120890,Residential,1965,1,Single Family,Single Family,A14,2250.728322,132.7,0.813,0.356,0.093,0.052,1
53739,-77.492,34.831,67495,178350,Building Site,2007,2,Single Family,Single Family,A30,1690.267208,125.89,0.882,0.495,0.213,0.15,2
45479,-77.312,34.783,74617,180960,Residential,2009,1,Single Family,Single Family,A62,2575.362003,135.09,0.838,0.4,0.127,0.098,0
72617,-77.498,34.861,50136,269060,Golf Course Lot,2000,2,Single Family,Single Family,A30,3432.824647,123.62,0.854,0.435,0.168,0.118,0
21018,-77.502,34.526,153579,245740,Residential,2011,2,Single Family,Single Family,A26,2702.954179,147.51,0.995,0.968,0.886,0.801,4
21325,-77.399,34.527,155873,185200,Residential,2013,2,Single Family,Single Family,A26,1639.852345,150.31,0.997,0.978,0.916,0.842,4
114145,-77.406,34.758,22902,71400,Residential,1953,2,Single Family,Single Family,A30,1108.814816,134.02,0.949,0.694,0.41,0.304,3
133662,-77.378,34.801,45073,84700,Building Site,1948,1,Single Family,Single Family,A14,2765.658471,131.67,0.796,0.332,0.082,0.045,4
25556,-77.194,34.667,67878,158460,Residential,2006,2,Single Family,Single Family,A30,1690.271877,147.44,0.99,0.904,0.739,0.611,4
40592,-77.352,34.759,68366,159010,Residential,2006,1,Single Family,Single Family,A62,2313.652406,135.66,0.845,0.413,0.135,0.104,0
23641,-77.437,34.563,156601,186330,Residential,2012,1,Single Family,Single Family,A58,2550.321437,147.01,0.969,0.77,0.558,0.507,2
75915,-77.56,34.475,67167,141020,Residential,2006,1,Single Family,Single Family,A62,1687.31168,148.71,0.953,0.708,0.394,0.311,3
137395,-77.45,34.816,11802,130150,Residential,1966,1,Single Family,Single Family,A14,2408.593225,128.3,0.735,0.258,0.052,0.027,0
67554,-77.138,34.735,38692,188240,Residential,1998,2,Single Family,Single Family,A26,1902.50813,144.64,0.993,0.954,0.848,0.752,4
64799,-77.182,34.678,39717,143350,Residential,1993,1,Single Family,Single Family,A62,1066.574749,147.06,0.944,0.675,0.356,0.279,1
64803,-77.182,34.678,39717,143350,Residential,1993,1,Single Family,Single Family,A62,2300.661817,147.06,0.944,0.675,0.356,0.279,1
20396,-77.419,34.519,66510,344210,Waterfront Canal,2012,1,Single Family,Single Family,A62,3513.038066,150.34,0.96,0.738,0.433,0.344,3
109969,-77.45,34.751,7183,612331,Commercial,0,1,RETAIL,RETAIL,F16,8818.603968,133.05,0.948,0.886,0.755,0,3
114700,-77.231,34.757,42397,174380,Building Site,1988,2,Single Family,Single Family,A26,1735.101421,139.86,0.986,0.921,0.765,0.656,4
59995,-77.534,34.903,75793,170780,Residential,2010,2,Single Family,Single Family,A26,1659.853422,119.66,0.86,0.544,0.243,0.184,1
68955,-77.493,34.765,1106,123370,Residential,1977,1,Single Family,Single Family,A14,2153.155853,130.48,0.776,0.306,0.07,0.038,1
118158,-77.493,34.766,1106,123370,Residential,1977,1,Single Family,Single Family,A14,2288.861468,130.48,0.776,0.306,0.07,0.038,2
138433,-77.558,34.822,64562,177140,Residential,2005,1,Single Family,Single Family,A58,2430.243552,124.21,0.745,0.252,0.083,0.083,0
127215,-77.361,34.781,15014,114520,Residential,1972,1,Single Family,Single Family,A10,1855.740995,133.7,0.878,0.56,0.241,0.219,1
110051,-77.363,34.751,42136,117060,Residential,1984,1,Single Family,Single Family,A10,1737.543624,135.95,0.901,0.614,0.296,0.262,2
61801,-77.541,34.927,68573,157730,Residential,2006,2,Single Family,Single Family,A30,1550.926382,117.83,0.761,0.286,0.081,0.056,1
49054,-77.407,34.807,69838,55410,Townhome,2007,2,Town Home,Town Home,B32,3568.061849,130.33,0.306,0.041,0.003,0.002,0
39829,-77.346,34.755,152692,173970,Residential,2015,2,Single Family,Single Family,A22,1435.578168,136.1,0.959,0.729,0.382,0.089,3
146135,-77.557,34.901,13540,73270,Building Site,1933,1,Single Family,Single Family,A10,1914.506604,118.99,0.631,0.206,0.031,0.04,1
113012,-77.537,34.758,18742,64340,Building Site,1925,1,Single Family,Single Family,A10,1945.062902,129.28,0.823,0.448,0.149,0.146,0
62814,-77.622,34.947,27919,159890,Building Site,2006,1,Single Family,Single Family,A62,3202.341125,114.06,0.412,0.048,0.004,0.003,0
148744,-77.622,34.947,27919,159890,Building Site,2006,1,Single Family,Single Family,A62,860.5510029,114.04,0.411,0.048,0.004,0.003,2
71045,-77.463,34.811,53399,171930,Residential,1995,2,Single Family,Single Family,A30,1824.278166,128.33,0.907,0.558,0.267,0.191,2
64988,-77.156,34.683,53690,306430,Waterfront River/Creek,2001,2,Single Family,Single Family,A30,3855.768042,147.5,0.99,0.904,0.74,0.612,4
36461,-77.23,34.736,153707,166590,Residential,2014,2,Single Family,Single Family,A30,1625.896101,141.4,0.978,0.83,0.603,0.474,3
63491,-77.558,34.486,14801,77750,Building Site,2003,1,Multi-Section MH,Multi-Section MH,B32,1594.553577,148.04,0.657,0.281,0.068,0.055,1
116104,-77.423,34.761,22854,92700,Residential,1946,1,Single Family,Single Family,A14,785.0411362,133.22,0.821,0.369,0.099,0.056,1
116166,-77.423,34.762,22854,92700,Residential,1946,1,Single Family,Single Family,A14,1140.687434,133.21,0.821,0.368,0.099,0.056,0
104243,-77.5,34.74,29096,137720,Building Site,1961,1,Single Family,Single Family,A10,2982.602498,131.94,0.858,0.516,0.201,0.188,4
104261,-77.501,34.74,29096,137720,Building Site,1961,1,Single Family,Single Family,A10,1488.133262,131.92,0.858,0.515,0.201,0.187,2
70224,-77.415,34.789,42204,203600,Residential,1984,2,Single Family,Single Family,A30,2433.7991,131.45,0.932,0.636,0.343,0.25,4
74608,-77.521,34.448,21895,405930,Waterfront Canal,2003,1,Beach House,Beach House,A56,2385.203872,151.38,0.974,0.746,0.294,0.045,3
32749,-77.228,34.715,68099,163400,Residential,2010,1,Single Family,Single Family,A62,2455.199998,143.05,0.918,0.588,0.267,0.207,1
25568,-77.193,34.667,73640,77310,Townhome,2007,2,Town Home,Town Home,B32,5167.068358,147.47,0.647,0.269,0.064,0.051,0
59389,-77.52,34.897,151749,138380,Residential,2011,1,Single Family,Single Family,A58,1915.030793,120.49,0.671,0.179,0.048,0.051,1
71711,-77.229,34.825,14111,170370,Commercial,1957,1,RETAIL,RETAIL,F16,1546.603561,134.92,0.957,0.902,0.784,0,3
139562,-77.229,34.825,14111,170370,Commercial,1957,1,RETAIL,RETAIL,F16,3766.306524,134.91,0.957,0.902,0.784,0,2
139596,-77.229,34.825,14111,170370,Commercial,1957,1,RETAIL,RETAIL,F16,808.532269,134.91,0.957,0.902,0.784,0,3
136018,-77.464,34.811,21193,148070,Residential,2003,1,Single Family,Single Family,A62,2537.186208,128.23,0.73,0.246,0.053,0.042,0
65403,-77.207,34.691,23954,82480,Residential,1970,1,Single Family,Single Family,A14,1463.460969,145.41,0.944,0.653,0.312,0.214,2
116065,-77.418,34.761,30672,81095,Commercial,0,1,CONVERSION,CONVERSION,A10,1000.652766,133.39,0.875,0.552,0.234,0.213,0
42952,-77.451,34.77,36689,545040,Residential,2010,1,Single Family,Single Family,A58,501.4307625,131.65,0.859,0.428,0.196,0.184,2
43034,-77.451,34.77,36689,545040,Residential,2010,1,Single Family,Single Family,A58,6881.585088,131.63,0.859,0.427,0.195,0.183,1
69760,-77.503,34.782,15749,102460,Building Site,1966,1,Single Family,Single Family,A14,994.2226326,128.96,0.748,0.272,0.057,0.03,1
126734,-77.503,34.782,15749,102460,Building Site,1966,1,Single Family,Single Family,A14,1141.156932,128.95,0.748,0.272,0.057,0.03,0
126838,-77.504,34.782,15749,102460,Building Site,1966,1,Single Family,Single Family,A14,777.1665162,128.93,0.748,0.272,0.056,0.03,1
127002,-77.504,34.782,15749,102460,Building Site,1966,1,Single Family,Single Family,A14,2842.012795,128.91,0.747,0.271,0.056,0.03,1
104677,-77.462,34.741,55768,107040,Building Site,1938,2,Single Family,Single Family,A26,719.8427953,133.33,0.968,0.844,0.613,0.501,1
104688,-77.462,34.741,55768,107040,Building Site,1938,2,Single Family,Single Family,A26,1799.351426,133.34,0.968,0.844,0.613,0.501,4
44705,-77.312,34.778,70858,159630,Residential,2007,1,Single Family,Single Family,A62,2306.581241,135.41,0.842,0.407,0.131,0.101,2
80375,-77.376,34.535,30311,452420,Waterfront River/Creek,2005,1,Single Family,Single Family,A62,3140.146987,150.34,0.96,0.738,0.433,0.344,2
107721,-77.43,34.747,40318,86370,Residential,0,1,SPECIAL/INSTITUTIONAL,SPECIAL/INSTITUTIONAL,F16,2655.658874,134.02,0.953,0.895,0.77,0,3
141715,-77.461,34.84,42992,101650,Residential,1986,1,Single Family,Single Family,A10,1687.701168,126.26,0.775,0.372,0.101,0.105,1
124058,-77.356,34.774,43710,294330,Residential,1986,1,Single Family,Single Family,A10,4146.030083,134.32,0.885,0.575,0.255,0.231,1
124091,-77.355,34.775,43710,294330,Residential,1986,1,Single Family,Single Family,A10,1479.475032,134.32,0.885,0.575,0.255,0.231,2
57353,-77.632,34.862,66491,440940,Building Site Off-Road,0,1,RETAIL,RETAIL,F16,633.7109695,119.05,0.825,0.695,0.48,0,0
57375,-77.632,34.862,66491,440940,Building Site Off-Road,0,1,RETAIL,RETAIL,F16,6215.799294,119.04,0.825,0.695,0.48,0,0
72626,-77.632,34.863,66491,440940,Building Site Off-Road,0,1,RETAIL,RETAIL,F16,17598.16403,119.01,0.825,0.695,0.48,0,3
143762,-77.634,34.864,66491,440940,Building Site Off-Road,0,1,RETAIL,RETAIL,F16,1863.733457,118.87,0.823,0.692,0.477,0,2
29218,-77.144,34.692,75929,224820,Residential,2014,1,Single Family,Single Family,A62,2882.441287,147.18,0.945,0.677,0.359,0.281,4
65883,-77.116,34.7,24144,109680,Waterfront River/Creek,1959,1,Single Family,Single Family,A14,955.6453452,147.69,0.957,0.7,0.363,0.257,1
38297,-77.337,34.747,156455,171240,Residential,2013,2,Single Family,Single Family,A26,1792.374235,136.97,0.979,0.892,0.703,0.589,4
116124,-77.317,34.76,11745,99990,Residential,1975,1,Single Family,Single Family,A14,1645.153734,136.54,0.866,0.448,0.144,0.086,1
132021,-77.374,34.793,27081,38100,Building Site,1962,1,Single Family,Single Family,A14,1346.111799,132.36,0.808,0.349,0.089,0.05,1
83545,-77.383,34.567,43729,420950,Waterfront River/Creek,2001,1,Single Family,Single Family,A62,4188.2101,148.3,0.951,0.7,0.385,0.303,3
83559,-77.383,34.567,43729,420950,Waterfront River/Creek,2001,1,Single Family,Single Family,A62,1783.141569,148.29,0.951,0.7,0.385,0.303,1
18145,-77.568,34.478,150819,208710,Residential,2013,2,Single Family,Single Family,A26,1652.479155,148.26,0.995,0.971,0.895,0.812,4
71217,-77.465,34.815,24853,106810,Residential,1976,1,Single Family,Single Family,A10,1980.022507,127.95,0.803,0.414,0.126,0.127,1
128116,-77.418,34.783,34213,59590,Townhome,1982,2,Town Home,Town Home,B35,1893.286232,131.78,0.597,0.428,0.127,0.095,0
65772,-77.12,34.697,54949,264850,Residential,2005,1,Single Family,Single Family,A62,2834.740363,147.67,0.948,0.687,0.37,0.291,2
142104,-77.508,34.843,64470,98510,Residential,2004,1,Multi-Section MH,Multi-Section MH,B32,2154.652767,124.52,0.203,0.016,0.001,0,0
98928,-77.522,34.725,16789,94100,Residential,1981,1,Single Family,Single Family,A10,2102.718731,132.16,0.861,0.521,0.206,0.192,1
131706,-77.418,34.792,49629,672620,Commercial,0,1,OFFICES/SERVICES,OFFICES/SERVICES,F16,6064.524639,131.12,0.938,0.867,0.724,0,3
108913,-77.344,34.748,56903,157150,Residential,1998,2,Single Family,Single Family,A30,1523.107286,136.69,0.962,0.749,0.481,0.364,1
90816,-77.217,34.688,54754,108350,Residential,1996,1,Single Family,Single Family,A58,1667.839856,145.29,0.962,0.739,0.516,0.468,2
40838,-77.399,34.76,67823,78050,Building Site,2011,1,Single Family,Single Family,A58,1242.547331,134.09,0.886,0.488,0.245,0.227,1
115360,-77.399,34.76,67823,78050,Building Site,2011,1,Single Family,Single Family,A58,2221.320419,134.12,0.886,0.489,0.246,0.228,2
57802,-77.556,34.866,68735,130050,Residential,2007,1,Single Family,Single Family,A58,1947.767198,121.36,0.689,0.195,0.055,0.057,0
45828,-77.31,34.785,156177,146700,Residential,2012,1,Single Family,Single Family,A58,1899.702513,135,0.895,0.511,0.265,0.245,4
75576,-77.472,34.468,23206,415410,Waterview,1995,1,Beach House,Beach House,A62,2029.785576,151.86,0.966,0.765,0.469,0.375,1
68899,-77.531,34.765,33043,107510,Residential,1983,1,Single Family,Single Family,A14,575.5278016,129.06,0.75,0.274,0.058,0.03,0
68900,-77.531,34.765,33043,107510,Residential,1983,1,Single Family,Single Family,A14,2742.006877,129.06,0.75,0.274,0.057,0.03,1
121132,-77.497,34.77,64194,132210,Residential,2004,1,Single Family,Single Family,A58,2227.013432,129.95,0.837,0.386,0.165,0.156,1
49560,-77.414,34.809,68698,173410,Residential,2006,2,Single Family,Single Family,A26,1954.835772,129.95,0.952,0.787,0.521,0.416,1
120600,-77.439,34.769,22414,105770,Residential,1962,2,Single Family,Single Family,A30,1437.828673,132.15,0.937,0.652,0.361,0.264,2
105709,-77.494,34.745,39187,141500,Residential,1987,1,Single Family,Single Family,A14,2760.72669,131.89,0.8,0.338,0.084,0.046,3
113039,-77.371,34.756,49051,151040,Residential,1991,2,Single Family,Single Family,A26,1418.281735,135.29,0.975,0.871,0.663,0.549,4
60749,-77.633,34.914,71282,167420,Residential,2008,2,Single Family,Single Family,A30,1623.085784,115.74,0.72,0.238,0.059,0.041,0
38435,-77.307,34.747,154620,233300,Residential,2012,2,Single Family,Single Family,A30,2259.168548,137.84,0.966,0.771,0.511,0.39,2
122981,-77.435,34.773,1850,131560,Residential,1963,2,Single Family,Single Family,A26,1669.013026,131.93,0.962,0.822,0.576,0.466,4
26966,-77.531,34.687,72388,195990,Residential,2007,2,Single Family,Single Family,A30,1802.164936,134.82,0.953,0.711,0.431,0.321,3
112800,-77.414,34.756,160367,58920,Residential,1953,1,Duplex,Duplex,A14,1770.697612,133.92,0.831,0.385,0.107,0.062,1
119998,-77.43,34.768,15633,86840,Residential,1959,1,Single Family,Single Family,A14,1465.356673,132.52,0.81,0.352,0.091,0.051,1
126191,-77.434,34.78,28832,101270,Residential,1963,2,Single Family,Single Family,A26,1433.595407,131.52,0.96,0.815,0.565,0.455,2
46930,-77.365,34.792,46507,76090,Building Site,1930,1,Single Family,Single Family,A10,652.2880154,132.66,0.866,0.534,0.217,0.2,1
131899,-77.365,34.792,46507,76090,Building Site,1930,1,Single Family,Single Family,A10,773.0659781,132.66,0.866,0.534,0.217,0.2,0
131929,-77.365,34.793,46507,76090,Building Site,1930,1,Single Family,Single Family,A10,1279.816939,132.65,0.866,0.534,0.217,0.2,2
131943,-77.366,34.793,46507,76090,Building Site,1930,1,Single Family,Single Family,A10,973.7649284,132.63,0.866,0.533,0.216,0.2,0
128588,-77.393,34.784,50659,111100,Residential,1991,1,Single Family,Single Family,A10,1803.921511,132.5,0.865,0.53,0.214,0.198,4
138949,-77.562,34.826,59630,117450,Residential,2002,1,Single Family,Single Family,A58,1710.52772,123.82,0.738,0.244,0.079,0.079,2
87811,-77.477,34.678,58485,138000,Residential,1998,1,Single Family,Single Family,A58,1778.640287,137.2,0.915,0.564,0.315,0.289,0
36761,-77.525,34.742,76294,135160,Residential,2010,1,Single Family,Single Family,A62,2072.510724,130.89,0.776,0.302,0.077,0.06,1
52168,-77.401,34.822,153291,254420,Residential,2011,2,Single Family,Single Family,A26,2805.391732,129.38,0.949,0.776,0.505,0.402,1
35192,-77.184,34.728,156674,255670,Residential,2013,2,Single Family,Single Family,A26,2649.814216,143.47,0.991,0.948,0.83,0.73,4
130081,-77.364,34.787,1405,87960,Residential,1982,1,Single Family,Single Family,A14,2014.650896,133.11,0.819,0.366,0.098,0.055,1
134374,-77.459,34.805,2054,122090,Residential,1976,1,Single Family,Single Family,A14,2759.816931,128.81,0.745,0.269,0.055,0.029,1
88349,-77.212,34.677,29739,82610,Building Site,1994,1,Multi-Section MH,Multi-Section MH,B35,1722.182314,146.19,0.851,0.753,0.422,0.304,2
23381,-77.379,34.557,68051,137690,Residential,2006,1,Single Family,Single Family,A58,1868.467275,149,0.975,0.802,0.606,0.552,4
37122,-77.365,34.742,73157,55000,Building Only (No Land),2008,2,Condominium,Condominium,C24,2937.501741,136.52,0.979,0.741,0.211,0.004,3
70379,-77.282,34.79,3990,72990,Building Site,1979,1,Single Family,Single Family,A14,1493.462713,135.65,0.855,0.427,0.131,0.077,2
131660,-77.282,34.79,3990,72990,Building Site,1979,1,Single Family,Single Family,A14,1614.026676,135.65,0.855,0.427,0.131,0.077,1
69497,-77.431,34.775,7562,138900,Residential,1960,1,Single Family,Single Family,A14,3106.50474,131.94,0.801,0.339,0.084,0.047,2
81399,-77.403,34.545,36238,534870,Building Site,0,1,PUBLIC BUILDINGS,PUBLIC BUILDINGS,E6,5766.428808,149.07,0.82,0.811,0.765,0.463,3
138222,-77.516,34.82,66932,169910,Residential,2006,2,Single Family,Single Family,A26,1652.510509,125.82,0.925,0.701,0.405,0.315,1
60662,-77.522,34.911,73936,86120,Residential,2008,1,Multi-Section MH,Multi-Section MH,B32,2152.010679,119.42,0.129,0.006,0,0,0
103163,-77.508,34.738,15324,90290,Building Site,1952,1,Single Family,Single Family,A14,2797.764333,131.83,0.799,0.336,0.083,0.046,1
42521,-77.325,34.766,151067,235000,Residential,2015,2,Single Family,Single Family,A22,1808.270078,135.79,0.958,0.722,0.374,0.085,2
