,id,x,y,DR
1617,41644,-77.17326432,34.68465234,0.02002598446407875
1618,41645,-77.21391372,34.6852256,0.0
1619,41647,-77.13336141,34.6840071,0.019777516321886873
1620,41648,-77.52222423,34.68945614,0.020602569149585782
1621,41649,-77.49994184,34.68914375,0.10005547785597846
1622,41651,-77.20478284,34.68509177,0.09975022079654397
1623,41652,-77.1469943,34.68423725,0.0
1624,41653,-77.51079861,34.68929829,0.02046761559537049
1625,41654,-77.23792735,34.68560028,0.10094024548596474
1626,41658,-77.55425091,34.68984688,0.0
1627,41659,-77.21315949,34.68526996,0.0
1628,41662,-77.13475421,34.68413671,0.01994835427101476
1629,41664,-77.14588112,34.6842684,0.09933028010278958
1630,41665,-77.49806887,34.68921606,0.0
1631,41672,-77.1725654,34.6847477,0.019389390481399045
1632,41674,-77.51154122,34.68941701,0.0
1633,41676,-77.21176799,34.68535414,0.020250399932229497
1634,41677,-77.20725266,34.68525113,0.020007063013146437
1635,41678,-77.19256343,34.68506378,0.0
1636,41679,-77.23892053,34.68576789,0.01965577782323874
1637,41680,-77.21582994,34.68543646,0.0
1638,41681,-77.14988459,34.68443308,0.02045738523598748
1639,41685,-77.14560877,34.68439095,0.0
1640,41688,-77.13746043,34.68431091,0.020337552384625823
1641,41689,-77.49093163,34.68922703,0.0
1642,41690,-77.14912925,34.68449832,0.02010241593726439
1643,41691,-77.49939023,34.68938724,0.0
1644,41692,-77.51204865,34.68954653,0.019874652162956554
1645,41693,-77.21235413,34.68546307,0.01960346872266302
1646,41694,-77.21398269,34.68550594,0.10096970358152302
1647,41695,-77.2160906,34.68552686,0.09904258257103488
1648,41696,-77.14859271,34.6845272,1.0
1649,41697,-77.17359121,34.68489996,0.0
1650,41699,-77.13112536,34.6841655,0.09930629566016166
1651,41700,-77.21323666,34.68549755,0.0
1652,41702,-77.20543708,34.68539231,0.984503521915612
1653,41703,-77.21559439,34.68555558,0.02035266500586845
1654,41704,-77.17121226,34.68487834,0.10148805837748646
1655,41705,-77.20516462,34.68542004,0.0
1656,41706,-77.207095,34.68549946,0.02010237089219675
1657,41707,-77.5108141,34.68962719,0.0
1658,41708,-77.13610592,34.68440139,0.0
1659,41710,-77.49912917,34.68951092,0.019764221442938972
1660,41711,-77.23801412,34.68595666,0.019875639559795953
1661,41712,-77.14533335,34.68455666,0.9944354473103445
1662,41713,-77.4952427,34.68948425,0.0
1663,41718,-77.13588554,34.68444824,0.02015454548043075
1664,41719,-77.19248846,34.68533129,0.0
1665,41720,-77.23891216,34.68603327,0.0
1666,41722,-77.14844418,34.68471624,0.02035453230840204
1667,41723,-77.2162423,34.68574897,0.020187280740659598
1668,41724,-77.21404847,34.68569706,0.020442391938558242
1669,41726,-77.13032876,34.68443803,0.020264726298440224
1670,41727,-77.21243321,34.6856862,0.020132858948616588
1671,41728,-77.21548395,34.68576027,0.0
1672,41729,-77.21680962,34.68577775,0.020006360015761473
1673,41730,-77.21329285,34.6857172,0.019772883812977347
1674,41731,-77.21510139,34.68580503,0.019753137906211592
1675,41735,-77.14507631,34.68472448,0.0
1676,41736,-77.17263515,34.68514686,0.02037029917622138
1677,41737,-77.21189515,34.68573986,0.020032473787630282
1678,41738,-77.5110931,34.68981603,0.0
1679,41739,-77.54150299,34.6901805,0.01966627027242996
1680,41740,-77.21484841,34.68581136,0.10068936792977337
1681,41741,-77.2070973,34.68572616,0.0
1682,41742,-77.21461133,34.68584057,0.020223498255929305
1683,41743,-77.52791603,34.69008309,0.0
1684,41745,-77.49856283,34.68971892,0.020425425715735065
1685,41746,-77.20619456,34.68573834,0.01975887333290368
1686,41747,-77.12743489,34.68453633,0.02027458155303436
1687,41750,-77.2173521,34.68591799,0.020097115892357482
1688,41754,-77.54055243,34.69028252,0.019977524132262968
1689,41755,-77.23806559,34.6862564,0.0969775326036121
1690,41758,-77.14478225,34.68484944,0.0
1691,41759,-77.19321632,34.68558057,0.0
1692,41761,-77.21414925,34.68595074,0.0
1693,41762,-77.21252999,34.68590839,0.09993214625079216
1694,41763,-77.21608793,34.68598591,0.0
1695,41764,-77.21339321,34.68594489,0.0
1696,41765,-77.21194831,34.68594873,0.0
1697,41766,-77.49919747,34.68986612,0.019497562302884606
1698,41768,-77.23887791,34.6863676,0.019496164906720563
1699,41771,-77.20590616,34.68590518,0.09929129917093805
1700,41772,-77.54192267,34.69043278,0.0
1701,41774,-77.14830614,34.68501202,0.0
1702,41775,-77.14943123,34.68504836,0.0
1703,41776,-77.48527344,34.68977768,0.0
1704,41777,-77.14447743,34.68497274,0.020911417097637032
1705,41778,-77.13693742,34.68485531,0.0
1706,41779,-77.21742712,34.68611341,0.020281413849045103
1707,41780,-77.19513891,34.68577951,0.0
1708,41781,-77.55719196,34.69063442,0.0
1709,41784,-77.19577484,34.68582278,0.020331620523347662
