,x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES,mph,DS1,DS2,DS3,DS4,dmg_state,kmh,Dislocation
1854,77.1382576,34.68613286,0,41988,27538.0,90662,Building Existing,163.110294,1403.506188,2006,49066,1,1,2021.0,90150,2.0,Residential,1992.0,NONE,2,1255,Single Family,Aluminum/Vinyl, A30,A30,Single Family,127.0464716700525,0.8942284961692387,0.5251067957169064,0.2377569839813769,0.1689482624592044,4,204.54481938878453,1
1855,77.1376704,34.68609329,0,41989,27539.0,90663,Building Existing,243.7761117,2360.48847,2006,25139,1,2,2021.0,54240,2.0,Residential,1998.0,NONE,1,1782,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,127.06159346841733,0.2035268063136973,0.024557473048815306,0.0034181717483006222,0.0025084087849675204,0,204.5691654841519,0
1856,77.17543878,34.68669019,0,41990,27540.0,90664,Building Existing,261.9497455,3201.318447,2006,14608,1,1,2021.0,100140,7.0,Waterfront River/Creek,1961.0,NONE,1,2208,Single Family,Aluminum/Vinyl, A78,A78,Single Family,126.13985912907724,0.5463537209254888,0.07864234958561998,0.005308281368562739,0.0005685673391712623,0,203.08517319781436,0
1857,77.19603968,34.68699787,0,41991,27541.0,90665,Building Existing,184.7457459,1692.657282,2006,9639,1,2,2021.0,49340,19.0,Building Site,1999.0,NONE,1,1518,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,125.584369187388,0.18072135246496707,0.019459427762486,0.0025976517058475565,0.001929387681558543,0,202.1908343916947,0
1858,77.49416002,34.69112526,0,41992,27542.0,90666,Building Existing,166.771973,1495.586782,2006,10061,1,1,2021.0,78900,19.0,Building Site,1972.0,NONE,1,1152,Single Family,Aluminum/Vinyl, A90,A90,Single Family,116.61937287430912,0.5078140635784322,0.06801539649100169,0.02116884066995288,0.015378960375578607,0,187.7571903276377,0
1859,77.49998291,34.69117904,0,41993,27543.0,90668,Building Existing,239.57653,2845.571675,2006,55571,1,1,2021.0,142510,1.0,Residential,1997.0,NONE,1,2144,Single Family,Aluminum/Vinyl, A6,A6,Single Family,116.47319355874956,0.3870779256667207,0.04060514422567197,0.0009477371543543799,1.5755566630821e-05,1,187.5218416295868,0
1860,77.49917284,34.69118156,0,41994,27544.0,90669,Building Existing,195.4673567,2085.293842,2006,55566,1,1,2021.0,99560,1.0,Residential,1996.0,NONE,1,1266,Single Family,"Frame Siding, Plywood", A102,A102,Single Family,116.49298535962372,0.3174580042544145,0.017557723759286742,0.0002284751354747647,5.786018478734559e-06,0,187.5537064289942,0
1861,77.20333416,34.68714839,0,41995,27545.0,90670,Building Existing,168.3296677,1507.700054,2006,4770,1,1,2021.0,47940,1.0,Residential,1968.0,NONE,1,1000,Single Family,Aluminum/Vinyl, A74,A74,Single Family,125.37637213165209,0.6528207738666565,0.12719383301587212,0.009287722171998006,0.0010596959047259032,0,201.85595913195988,0
1862,77.12976607,34.6860384,0,41997,27546.0,90673,Building Existing,223.0368072,2099.259393,2006,11625,1,1,2021.0,45560,6.0,Waterfront River/Creek,1953.0,NONE,1,1530,Single Family,Concrete Block, A90,A90,Single Family,127.24877084547373,0.739774237025202,0.24266710699808958,0.10800671844064719,0.08578078039964432,0,204.8705210612127,0
1863,77.12394581,34.68595927,0,41999,27547.0,90678,Building Existing,270.6915728,2792.57942,2006,4227,1,1,2021.0,73750,1.0,Residential,1952.0,NONE,1,1678,Single Family,Aluminum/Vinyl, A66,A66,Single Family,127.44293619092161,0.7129430462805497,0.13155157067444012,0.0018750285925898463,2.3892584224479498e-05,1,205.1831272673838,0
